vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125	4.0_64.0	1.1	0.8	37	1846	13290	29	25	4	0.561	0.878	0.877	0.439	0.02	0.561	0.039	0.98
0.1_0.125	8.0_64.0	1.1	0.8	29	1214	8547	15	13	2	0.659	0.876	0.875	0.535	0.023	0.659	0.044	0.977
0.25	4.0_64.0	1.1	0.8	41	256	4303	25	19	6	0.621	0.944	0.939	0.565	0.138	0.621	0.226	0.862
0.25	8.0_64.0	1.1	0.8	32	144	2468	12	9	3	0.727	0.945	0.941	0.672	0.182	0.727	0.291	0.818
0.375	4.0_64.0	1.1	0.8	38	17	421	16	11	5	0.704	0.961	0.933	0.665	0.691	0.704	0.697	0.309
0.375	8.0_64.0	1.1	0.8	27	10	237	9	7	2	0.75	0.96	0.933	0.71	0.73	0.75	0.74	0.27
0.5	4.0_64.0	1.1	0.8	61	37	785	17	11	6	0.782	0.955	0.94	0.737	0.622	0.782	0.693	0.378
0.5	8.0_64.0	1.1	0.8	43	23	424	9	6	3	0.827	0.949	0.936	0.776	0.652	0.827	0.729	0.348
0.7_0.75	4.0_64.0	1.1	0.8	52	22	262	14	9	5	0.788	0.923	0.897	0.711	0.703	0.788	0.743	0.297
0.7_0.75	8.0_64.0	1.1	0.8	35	14	140	9	6	3	0.795	0.909	0.884	0.704	0.714	0.795	0.752	0.286
1.0	4.0_64.0	1.1	0.8	55	22	144	11	9	2	0.833	0.867	0.858	0.7	0.714	0.833	0.769	0.286
1.0	8.0_64.0	1.1	0.8	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.1	0.9	37	1782	13354	29	25	4	0.561	0.882	0.881	0.443	0.02	0.561	0.039	0.98
0.1_0.125	8.0_64.0	1.1	0.9	29	1173	8588	15	13	2	0.659	0.88	0.879	0.539	0.024	0.659	0.046	0.976
0.25	4.0_64.0	1.1	0.9	40	239	4320	26	19	7	0.606	0.948	0.943	0.554	0.143	0.606	0.231	0.857
0.25	8.0_64.0	1.1	0.9	31	135	2477	13	9	4	0.705	0.948	0.944	0.653	0.187	0.705	0.296	0.813
0.375	4.0_64.0	1.1	0.9	38	15	423	16	11	5	0.704	0.966	0.937	0.67	0.717	0.704	0.71	0.283
0.375	8.0_64.0	1.1	0.9	27	8	239	9	7	2	0.75	0.968	0.94	0.718	0.771	0.75	0.76	0.229
0.5	4.0_64.0	1.1	0.9	60	34	788	18	11	7	0.769	0.959	0.942	0.728	0.638	0.769	0.697	0.362
0.5	8.0_64.0	1.1	0.9	42	21	426	10	6	4	0.808	0.953	0.938	0.761	0.667	0.808	0.731	0.333
0.7_0.75	4.0_64.0	1.1	0.9	52	22	262	14	9	5	0.788	0.923	0.897	0.711	0.703	0.788	0.743	0.297
0.7_0.75	8.0_64.0	1.1	0.9	35	14	140	9	6	3	0.795	0.909	0.884	0.704	0.714	0.795	0.752	0.286
1.0	4.0_64.0	1.1	0.9	55	22	144	11	9	2	0.833	0.867	0.858	0.7	0.714	0.833	0.769	0.286
1.0	8.0_64.0	1.1	0.9	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.1	1.0	37	1639	13497	29	25	4	0.561	0.892	0.89	0.453	0.022	0.561	0.042	0.978
0.1_0.125	8.0_64.0	1.1	1.0	29	1087	8674	15	13	2	0.659	0.889	0.888	0.548	0.026	0.659	0.05	0.974
0.25	4.0_64.0	1.1	1.0	40	215	4344	26	19	7	0.606	0.953	0.948	0.559	0.157	0.606	0.249	0.843
0.25	8.0_64.0	1.1	1.0	31	120	2492	13	9	4	0.705	0.954	0.95	0.659	0.205	0.705	0.318	0.795
0.375	4.0_64.0	1.1	1.0	38	12	426	16	11	5	0.704	0.973	0.943	0.677	0.76	0.704	0.731	0.24
0.375	8.0_64.0	1.1	1.0	27	5	242	9	7	2	0.75	0.98	0.951	0.73	0.844	0.75	0.794	0.156
0.5	4.0_64.0	1.1	1.0	60	34	788	18	11	7	0.769	0.959	0.942	0.728	0.638	0.769	0.697	0.362
0.5	8.0_64.0	1.1	1.0	42	21	426	10	6	4	0.808	0.953	0.938	0.761	0.667	0.808	0.731	0.333
0.7_0.75	4.0_64.0	1.1	1.0	52	21	263	14	9	5	0.788	0.926	0.9	0.714	0.712	0.788	0.748	0.288
0.7_0.75	8.0_64.0	1.1	1.0	35	13	141	9	6	3	0.795	0.916	0.889	0.711	0.729	0.795	0.761	0.271
1.0	4.0_64.0	1.1	1.0	54	22	144	12	9	3	0.818	0.867	0.853	0.685	0.711	0.818	0.761	0.289
1.0	8.0_64.0	1.1	1.0	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	0.0	38	5664	9472	28	25	3	0.576	0.626	0.626	0.202	0.007	0.576	0.014	0.993
0.1_0.125	8.0_64.0	1.2	0.0	29	3561	6200	15	13	2	0.659	0.635	0.635	0.294	0.008	0.659	0.016	0.992
0.25	4.0_64.0	1.2	0.0	44	972	3587	22	19	3	0.667	0.787	0.785	0.454	0.043	0.667	0.081	0.957
0.25	8.0_64.0	1.2	0.0	33	531	2081	11	9	2	0.75	0.797	0.796	0.547	0.059	0.75	0.109	0.941
0.375	4.0_64.0	1.2	0.0	40	83	355	14	11	3	0.741	0.811	0.803	0.552	0.325	0.741	0.452	0.675
0.375	8.0_64.0	1.2	0.0	28	31	216	8	7	1	0.778	0.874	0.862	0.652	0.475	0.778	0.59	0.525
0.5	4.0_64.0	1.2	0.0	64	161	661	14	11	3	0.821	0.804	0.806	0.625	0.284	0.821	0.422	0.716
0.5	8.0_64.0	1.2	0.0	46	87	360	6	6	0	0.885	0.805	0.814	0.69	0.346	0.885	0.497	0.654
0.7_0.75	4.0_64.0	1.2	0.0	56	51	233	10	9	1	0.848	0.82	0.826	0.668	0.523	0.848	0.647	0.477
0.7_0.75	8.0_64.0	1.2	0.0	38	29	125	6	6	0	0.864	0.812	0.823	0.676	0.567	0.864	0.685	0.433
1.0	4.0_64.0	1.2	0.0	56	45	121	10	9	1	0.848	0.729	0.763	0.577	0.554	0.848	0.67	0.446
1.0	8.0_64.0	1.2	0.0	37	27	66	7	6	1	0.841	0.71	0.752	0.551	0.578	0.841	0.685	0.422
0.1_0.125	4.0_64.0	1.2	0.1	38	5350	9786	28	25	3	0.576	0.647	0.646	0.223	0.007	0.576	0.014	0.993
0.1_0.125	8.0_64.0	1.2	0.1	29	3427	6334	15	13	2	0.659	0.649	0.649	0.308	0.008	0.659	0.016	0.992
0.25	4.0_64.0	1.2	0.1	44	852	3707	22	19	3	0.667	0.813	0.811	0.48	0.049	0.667	0.091	0.951
0.25	8.0_64.0	1.2	0.1	33	486	2126	11	9	2	0.75	0.814	0.813	0.564	0.064	0.75	0.118	0.936
0.375	4.0_64.0	1.2	0.1	40	74	364	14	11	3	0.741	0.831	0.821	0.572	0.351	0.741	0.476	0.649
0.375	8.0_64.0	1.2	0.1	28	27	220	8	7	1	0.778	0.891	0.876	0.669	0.509	0.778	0.615	0.491
0.5	4.0_64.0	1.2	0.1	64	141	681	14	11	3	0.821	0.828	0.828	0.649	0.312	0.821	0.452	0.688
0.5	8.0_64.0	1.2	0.1	46	79	368	6	6	0	0.885	0.823	0.83	0.708	0.368	0.885	0.52	0.632
0.7_0.75	4.0_64.0	1.2	0.1	55	47	237	11	9	2	0.833	0.835	0.834	0.668	0.539	0.833	0.655	0.461
0.7_0.75	8.0_64.0	1.2	0.1	37	27	127	7	6	1	0.841	0.825	0.828	0.666	0.578	0.841	0.685	0.422
1.0	4.0_64.0	1.2	0.1	55	43	123	11	9	2	0.833	0.741	0.767	0.574	0.561	0.833	0.67	0.439
1.0	8.0_64.0	1.2	0.1	36	25	68	8	6	2	0.818	0.731	0.759	0.549	0.59	0.818	0.686	0.41
0.1_0.125	4.0_64.0	1.2	0.2	37	5156	9980	29	25	4	0.561	0.659	0.659	0.22	0.007	0.561	0.014	0.993
0.1_0.125	8.0_64.0	1.2	0.2	29	3316	6445	15	13	2	0.659	0.66	0.66	0.319	0.009	0.659	0.018	0.991
0.25	4.0_64.0	1.2	0.2	44	740	3819	22	19	3	0.667	0.838	0.835	0.505	0.056	0.667	0.103	0.944
0.25	8.0_64.0	1.2	0.2	33	433	2179	11	9	2	0.75	0.834	0.833	0.584	0.071	0.75	0.13	0.929
0.375	4.0_64.0	1.2	0.2	39	58	380	15	11	4	0.722	0.868	0.852	0.59	0.402	0.722	0.516	0.598
0.375	8.0_64.0	1.2	0.2	28	24	223	8	7	1	0.778	0.903	0.887	0.681	0.538	0.778	0.636	0.462
0.5	4.0_64.0	1.2	0.2	64	111	711	14	11	3	0.821	0.865	0.861	0.686	0.366	0.821	0.506	0.634
0.5	8.0_64.0	1.2	0.2	46	66	381	6	6	0	0.885	0.852	0.856	0.737	0.411	0.885	0.561	0.589
0.7_0.75	4.0_64.0	1.2	0.2	55	38	246	11	9	2	0.833	0.866	0.86	0.699	0.591	0.833	0.691	0.409
0.7_0.75	8.0_64.0	1.2	0.2	37	21	133	7	6	1	0.841	0.864	0.859	0.705	0.638	0.841	0.726	0.362
1.0	4.0_64.0	1.2	0.2	55	41	125	11	9	2	0.833	0.753	0.776	0.586	0.573	0.833	0.679	0.427
1.0	8.0_64.0	1.2	0.2	36	23	70	8	6	2	0.818	0.753	0.774	0.571	0.61	0.818	0.699	0.39
0.1_0.125	4.0_64.0	1.2	0.3	37	4957	10179	29	25	4	0.561	0.673	0.672	0.234	0.007	0.561	0.014	0.993
0.1_0.125	8.0_64.0	1.2	0.3	29	3194	6567	15	13	2	0.659	0.673	0.673	0.332	0.009	0.659	0.018	0.991
0.25	4.0_64.0	1.2	0.3	44	663	3896	22	19	3	0.667	0.855	0.852	0.522	0.062	0.667	0.113	0.938
0.25	8.0_64.0	1.2	0.3	33	384	2228	11	9	2	0.75	0.853	0.851	0.603	0.079	0.75	0.143	0.921
0.375	4.0_64.0	1.2	0.3	39	41	397	15	11	4	0.722	0.906	0.886	0.628	0.487	0.722	0.582	0.513
0.375	8.0_64.0	1.2	0.3	28	22	225	8	7	1	0.778	0.911	0.894	0.689	0.56	0.778	0.651	0.44
0.5	4.0_64.0	1.2	0.3	64	85	737	14	11	3	0.821	0.897	0.89	0.718	0.43	0.821	0.564	0.57
0.5	8.0_64.0	1.2	0.3	46	51	396	6	6	0	0.885	0.886	0.886	0.771	0.474	0.885	0.617	0.526
0.7_0.75	4.0_64.0	1.2	0.3	55	32	252	11	9	2	0.833	0.887	0.877	0.72	0.632	0.833	0.719	0.368
0.7_0.75	8.0_64.0	1.2	0.3	37	19	135	7	6	1	0.841	0.877	0.869	0.718	0.661	0.841	0.74	0.339
1.0	4.0_64.0	1.2	0.3	55	31	135	11	9	2	0.833	0.813	0.819	0.646	0.64	0.833	0.724	0.36
1.0	8.0_64.0	1.2	0.3	36	18	75	8	6	2	0.818	0.806	0.81	0.624	0.667	0.818	0.735	0.333
0.1_0.125	4.0_64.0	1.2	0.4	37	4676	10460	29	25	4	0.561	0.691	0.691	0.252	0.008	0.561	0.016	0.992
0.1_0.125	8.0_64.0	1.2	0.4	29	3033	6728	15	13	2	0.659	0.689	0.689	0.348	0.009	0.659	0.018	0.991
0.25	4.0_64.0	1.2	0.4	43	582	3977	23	19	4	0.652	0.872	0.869	0.524	0.069	0.652	0.125	0.931
0.25	8.0_64.0	1.2	0.4	32	335	2277	12	9	3	0.727	0.872	0.869	0.599	0.087	0.727	0.155	0.913
0.375	4.0_64.0	1.2	0.4	39	31	407	15	11	4	0.722	0.929	0.907	0.651	0.557	0.722	0.629	0.443
0.375	8.0_64.0	1.2	0.4	28	18	229	8	7	1	0.778	0.927	0.908	0.705	0.609	0.778	0.683	0.391
0.5	4.0_64.0	1.2	0.4	64	77	745	14	11	3	0.821	0.906	0.899	0.727	0.454	0.821	0.585	0.546
0.5	8.0_64.0	1.2	0.4	46	48	399	6	6	0	0.885	0.893	0.892	0.778	0.489	0.885	0.63	0.511
0.7_0.75	4.0_64.0	1.2	0.4	55	30	254	11	9	2	0.833	0.894	0.883	0.727	0.647	0.833	0.728	0.353
0.7_0.75	8.0_64.0	1.2	0.4	37	19	135	7	6	1	0.841	0.877	0.869	0.718	0.661	0.841	0.74	0.339
1.0	4.0_64.0	1.2	0.4	55	28	138	11	9	2	0.833	0.831	0.832	0.664	0.663	0.833	0.738	0.337
1.0	8.0_64.0	1.2	0.4	36	17	76	8	6	2	0.818	0.817	0.818	0.635	0.679	0.818	0.742	0.321
0.1_0.125	4.0_64.0	1.2	0.5	37	3992	11144	29	25	4	0.561	0.736	0.735	0.297	0.009	0.561	0.018	0.991
0.1_0.125	8.0_64.0	1.2	0.5	29	2611	7150	15	13	2	0.659	0.733	0.732	0.392	0.011	0.659	0.022	0.989
0.25	4.0_64.0	1.2	0.5	43	507	4052	23	19	4	0.652	0.889	0.885	0.541	0.078	0.652	0.139	0.922
0.25	8.0_64.0	1.2	0.5	32	291	2321	12	9	3	0.727	0.889	0.886	0.616	0.099	0.727	0.174	0.901
0.375	4.0_64.0	1.2	0.5	38	25	413	16	11	5	0.704	0.943	0.917	0.647	0.603	0.704	0.65	0.397
0.375	8.0_64.0	1.2	0.5	27	15	232	9	7	2	0.75	0.939	0.915	0.689	0.643	0.75	0.692	0.357
0.5	4.0_64.0	1.2	0.5	64	66	756	14	11	3	0.821	0.92	0.911	0.741	0.492	0.821	0.615	0.508
0.5	8.0_64.0	1.2	0.5	46	40	407	6	6	0	0.885	0.911	0.908	0.796	0.535	0.885	0.667	0.465
0.7_0.75	4.0_64.0	1.2	0.5	55	29	255	11	9	2	0.833	0.898	0.886	0.731	0.655	0.833	0.733	0.345
0.7_0.75	8.0_64.0	1.2	0.5	37	19	135	7	6	1	0.841	0.877	0.869	0.718	0.661	0.841	0.74	0.339
1.0	4.0_64.0	1.2	0.5	55	26	140	11	9	2	0.833	0.843	0.841	0.676	0.679	0.833	0.748	0.321
1.0	8.0_64.0	1.2	0.5	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	0.6	37	3440	11696	29	25	4	0.561	0.773	0.772	0.334	0.011	0.561	0.022	0.989
0.1_0.125	8.0_64.0	1.2	0.6	29	2252	7509	15	13	2	0.659	0.769	0.769	0.428	0.013	0.659	0.025	0.987
0.25	4.0_64.0	1.2	0.6	41	442	4117	25	19	6	0.621	0.903	0.899	0.524	0.085	0.621	0.15	0.915
0.25	8.0_64.0	1.2	0.6	32	252	2360	12	9	3	0.727	0.904	0.901	0.631	0.113	0.727	0.196	0.887
0.375	4.0_64.0	1.2	0.6	38	24	414	16	11	5	0.704	0.945	0.919	0.649	0.613	0.704	0.655	0.387
0.375	8.0_64.0	1.2	0.6	27	15	232	9	7	2	0.75	0.939	0.915	0.689	0.643	0.75	0.692	0.357
0.5	4.0_64.0	1.2	0.6	63	58	764	15	11	4	0.808	0.929	0.919	0.737	0.521	0.808	0.634	0.479
0.5	8.0_64.0	1.2	0.6	45	36	411	7	6	1	0.865	0.919	0.914	0.784	0.556	0.865	0.677	0.444
0.7_0.75	4.0_64.0	1.2	0.6	54	28	256	12	9	3	0.818	0.901	0.886	0.719	0.659	0.818	0.73	0.341
0.7_0.75	8.0_64.0	1.2	0.6	37	18	136	7	6	1	0.841	0.883	0.874	0.724	0.673	0.841	0.748	0.327
1.0	4.0_64.0	1.2	0.6	55	25	141	11	9	2	0.833	0.849	0.845	0.682	0.688	0.833	0.754	0.312
1.0	8.0_64.0	1.2	0.6	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	0.7	37	3014	12122	29	25	4	0.561	0.801	0.8	0.362	0.012	0.561	0.023	0.988
0.1_0.125	8.0_64.0	1.2	0.7	29	1967	7794	15	13	2	0.659	0.798	0.798	0.457	0.015	0.659	0.029	0.985
0.25	4.0_64.0	1.2	0.7	41	388	4171	25	19	6	0.621	0.915	0.911	0.536	0.096	0.621	0.166	0.904
0.25	8.0_64.0	1.2	0.7	32	224	2388	12	9	3	0.727	0.914	0.911	0.641	0.125	0.727	0.213	0.875
0.375	4.0_64.0	1.2	0.7	38	22	416	16	11	5	0.704	0.95	0.923	0.654	0.633	0.704	0.667	0.367
0.375	8.0_64.0	1.2	0.7	27	14	233	9	7	2	0.75	0.943	0.919	0.693	0.659	0.75	0.702	0.341
0.5	4.0_64.0	1.2	0.7	63	52	770	15	11	4	0.808	0.937	0.926	0.745	0.548	0.808	0.653	0.452
0.5	8.0_64.0	1.2	0.7	45	32	415	7	6	1	0.865	0.928	0.922	0.793	0.584	0.865	0.697	0.416
0.7_0.75	4.0_64.0	1.2	0.7	53	28	256	13	9	4	0.803	0.901	0.883	0.704	0.654	0.803	0.721	0.346
0.7_0.75	8.0_64.0	1.2	0.7	36	18	136	8	6	2	0.818	0.883	0.869	0.701	0.667	0.818	0.735	0.333
1.0	4.0_64.0	1.2	0.7	55	24	142	11	9	2	0.833	0.855	0.849	0.688	0.696	0.833	0.758	0.304
1.0	8.0_64.0	1.2	0.7	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	0.8	37	2737	12399	29	25	4	0.561	0.819	0.818	0.38	0.013	0.561	0.025	0.987
0.1_0.125	8.0_64.0	1.2	0.8	29	1786	7975	15	13	2	0.659	0.817	0.816	0.476	0.016	0.659	0.031	0.984
0.25	4.0_64.0	1.2	0.8	41	340	4219	25	19	6	0.621	0.925	0.921	0.546	0.108	0.621	0.184	0.892
0.25	8.0_64.0	1.2	0.8	32	195	2417	12	9	3	0.727	0.925	0.922	0.652	0.141	0.727	0.236	0.859
0.375	4.0_64.0	1.2	0.8	38	22	416	16	11	5	0.704	0.95	0.923	0.654	0.633	0.704	0.667	0.367
0.375	8.0_64.0	1.2	0.8	27	14	233	9	7	2	0.75	0.943	0.919	0.693	0.659	0.75	0.702	0.341
0.5	4.0_64.0	1.2	0.8	63	47	775	15	11	4	0.808	0.943	0.931	0.751	0.573	0.808	0.671	0.427
0.5	8.0_64.0	1.2	0.8	45	28	419	7	6	1	0.865	0.937	0.93	0.802	0.616	0.865	0.72	0.384
0.7_0.75	4.0_64.0	1.2	0.8	53	27	257	13	9	4	0.803	0.905	0.886	0.708	0.662	0.803	0.726	0.338
0.7_0.75	8.0_64.0	1.2	0.8	36	18	136	8	6	2	0.818	0.883	0.869	0.701	0.667	0.818	0.735	0.333
1.0	4.0_64.0	1.2	0.8	55	23	143	11	9	2	0.833	0.861	0.853	0.694	0.705	0.833	0.764	0.295
1.0	8.0_64.0	1.2	0.8	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	0.9	37	2534	12602	29	25	4	0.561	0.833	0.831	0.394	0.014	0.561	0.027	0.986
0.1_0.125	8.0_64.0	1.2	0.9	29	1654	8107	15	13	2	0.659	0.831	0.83	0.49	0.017	0.659	0.033	0.983
0.25	4.0_64.0	1.2	0.9	41	314	4245	25	19	6	0.621	0.931	0.927	0.552	0.115	0.621	0.194	0.885
0.25	8.0_64.0	1.2	0.9	32	183	2429	12	9	3	0.727	0.93	0.927	0.657	0.149	0.727	0.247	0.851
0.375	4.0_64.0	1.2	0.9	38	18	420	16	11	5	0.704	0.959	0.931	0.663	0.679	0.704	0.691	0.321
0.375	8.0_64.0	1.2	0.9	27	11	236	9	7	2	0.75	0.955	0.929	0.705	0.711	0.75	0.73	0.289
0.5	4.0_64.0	1.2	0.9	63	41	781	15	11	4	0.808	0.95	0.938	0.758	0.606	0.808	0.693	0.394
0.5	8.0_64.0	1.2	0.9	45	25	422	7	6	1	0.865	0.944	0.936	0.809	0.643	0.865	0.738	0.357
0.7_0.75	4.0_64.0	1.2	0.9	53	25	259	13	9	4	0.803	0.912	0.891	0.715	0.679	0.803	0.736	0.321
0.7_0.75	8.0_64.0	1.2	0.9	36	16	138	8	6	2	0.818	0.896	0.879	0.714	0.692	0.818	0.75	0.308
1.0	4.0_64.0	1.2	0.9	55	23	143	11	9	2	0.833	0.861	0.853	0.694	0.705	0.833	0.764	0.295
1.0	8.0_64.0	1.2	0.9	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.2	1.0	37	2340	12796	29	25	4	0.561	0.845	0.844	0.406	0.016	0.561	0.031	0.984
0.1_0.125	8.0_64.0	1.2	1.0	29	1522	8239	15	13	2	0.659	0.844	0.843	0.503	0.019	0.659	0.037	0.981
0.25	4.0_64.0	1.2	1.0	41	289	4270	25	19	6	0.621	0.937	0.932	0.558	0.124	0.621	0.207	0.876
0.25	8.0_64.0	1.2	1.0	32	167	2445	12	9	3	0.727	0.936	0.933	0.663	0.161	0.727	0.264	0.839
0.375	4.0_64.0	1.2	1.0	38	17	421	16	11	5	0.704	0.961	0.933	0.665	0.691	0.704	0.697	0.309
0.375	8.0_64.0	1.2	1.0	27	10	237	9	7	2	0.75	0.96	0.933	0.71	0.73	0.75	0.74	0.27
0.5	4.0_64.0	1.2	1.0	61	38	784	17	11	6	0.782	0.954	0.939	0.736	0.616	0.782	0.689	0.384
0.5	8.0_64.0	1.2	1.0	43	24	423	9	6	3	0.827	0.946	0.934	0.773	0.642	0.827	0.723	0.358
0.7_0.75	4.0_64.0	1.2	1.0	52	23	261	14	9	5	0.788	0.919	0.894	0.707	0.693	0.788	0.737	0.307
0.7_0.75	8.0_64.0	1.2	1.0	35	15	139	9	6	3	0.795	0.903	0.879	0.698	0.7	0.795	0.744	0.3
1.0	4.0_64.0	1.2	1.0	55	22	144	11	9	2	0.833	0.867	0.858	0.7	0.714	0.833	0.769	0.286
1.0	8.0_64.0	1.2	1.0	36	15	78	8	6	2	0.818	0.839	0.832	0.657	0.706	0.818	0.758	0.294
0.1_0.125	4.0_64.0	1.3	0.0	38	6500	8636	28	25	3	0.576	0.571	0.571	0.147	0.006	0.576	0.012	0.994
0.1_0.125	8.0_64.0	1.3	0.0	29	4097	5664	15	13	2	0.659	0.58	0.581	0.239	0.007	0.659	0.014	0.993
0.25	4.0_64.0	1.3	0.0	44	1309	3250	22	19	3	0.667	0.713	0.712	0.38	0.033	0.667	0.063	0.967
0.25	8.0_64.0	1.3	0.0	33	716	1896	11	9	2	0.75	0.726	0.726	0.476	0.044	0.75	0.083	0.956
0.375	4.0_64.0	1.3	0.0	40	131	307	14	11	3	0.741	0.701	0.705	0.442	0.234	0.741	0.356	0.766
0.375	8.0_64.0	1.3	0.0	28	57	190	8	7	1	0.778	0.769	0.77	0.547	0.329	0.778	0.462	0.671
0.5	4.0_64.0	1.3	0.0	66	231	591	12	11	1	0.846	0.719	0.73	0.565	0.222	0.846	0.352	0.778
0.5	8.0_64.0	1.3	0.0	46	113	334	6	6	0	0.885	0.747	0.762	0.632	0.289	0.885	0.436	0.711
0.7_0.75	4.0_64.0	1.3	0.0	56	77	207	10	9	1	0.848	0.729	0.751	0.577	0.421	0.848	0.563	0.579
0.7_0.75	8.0_64.0	1.3	0.0	38	44	110	6	6	0	0.864	0.714	0.747	0.578	0.463	0.864	0.603	0.537
1.0	4.0_64.0	1.3	0.0	56	54	112	10	9	1	0.848	0.675	0.724	0.523	0.509	0.848	0.636	0.491
1.0	8.0_64.0	1.3	0.0	37	35	58	7	6	1	0.841	0.624	0.693	0.465	0.514	0.841	0.638	0.486
0.1_0.125	4.0_64.0	1.3	0.1	38	6240	8896	28	25	3	0.576	0.588	0.588	0.164	0.006	0.576	0.012	0.994
0.1_0.125	8.0_64.0	1.3	0.1	29	3929	5832	15	13	2	0.659	0.597	0.598	0.256	0.007	0.659	0.014	0.993
0.25	4.0_64.0	1.3	0.1	44	1217	3342	22	19	3	0.667	0.733	0.732	0.4	0.035	0.667	0.067	0.965
0.25	8.0_64.0	1.3	0.1	33	667	1945	11	9	2	0.75	0.745	0.745	0.495	0.047	0.75	0.088	0.953
0.375	4.0_64.0	1.3	0.1	40	113	325	14	11	3	0.741	0.742	0.742	0.483	0.261	0.741	0.386	0.739
0.375	8.0_64.0	1.3	0.1	28	45	202	8	7	1	0.778	0.818	0.813	0.596	0.384	0.778	0.514	0.616
0.5	4.0_64.0	1.3	0.1	66	201	621	12	11	1	0.846	0.755	0.763	0.601	0.247	0.846	0.382	0.753
0.5	8.0_64.0	1.3	0.1	46	100	347	6	6	0	0.885	0.776	0.788	0.661	0.315	0.885	0.465	0.685
0.7_0.75	4.0_64.0	1.3	0.1	56	68	216	10	9	1	0.848	0.761	0.777	0.609	0.452	0.848	0.59	0.548
0.7_0.75	8.0_64.0	1.3	0.1	38	38	116	6	6	0	0.864	0.753	0.778	0.617	0.5	0.864	0.633	0.5
1.0	4.0_64.0	1.3	0.1	56	50	116	10	9	1	0.848	0.699	0.741	0.547	0.528	0.848	0.651	0.472
1.0	8.0_64.0	1.3	0.1	37	31	62	7	6	1	0.841	0.667	0.723	0.508	0.544	0.841	0.661	0.456
0.1_0.125	4.0_64.0	1.3	0.2	38	6012	9124	28	25	3	0.576	0.603	0.603	0.179	0.006	0.576	0.012	0.994
0.1_0.125	8.0_64.0	1.3	0.2	29	3780	5981	15	13	2	0.659	0.613	0.613	0.272	0.008	0.659	0.016	0.992
0.25	4.0_64.0	1.3	0.2	44	1105	3454	22	19	3	0.667	0.758	0.756	0.425	0.038	0.667	0.072	0.962
0.25	8.0_64.0	1.3	0.2	33	594	2018	11	9	2	0.75	0.773	0.772	0.523	0.053	0.75	0.099	0.947
0.375	4.0_64.0	1.3	0.2	40	98	340	14	11	3	0.741	0.776	0.772	0.517	0.29	0.741	0.417	0.71
0.375	8.0_64.0	1.3	0.2	28	37	210	8	7	1	0.778	0.85	0.841	0.628	0.431	0.778	0.555	0.569
0.5	4.0_64.0	1.3	0.2	65	182	640	13	11	2	0.833	0.779	0.783	0.612	0.263	0.833	0.4	0.737
0.5	8.0_64.0	1.3	0.2	46	94	353	6	6	0	0.885	0.79	0.8	0.675	0.329	0.885	0.48	0.671
0.7_0.75	4.0_64.0	1.3	0.2	56	59	225	10	9	1	0.848	0.792	0.803	0.64	0.487	0.848	0.619	0.513
0.7_0.75	8.0_64.0	1.3	0.2	38	35	119	6	6	0	0.864	0.773	0.793	0.637	0.521	0.864	0.65	0.479
1.0	4.0_64.0	1.3	0.2	56	48	118	10	9	1	0.848	0.711	0.75	0.559	0.538	0.848	0.658	0.462
1.0	8.0_64.0	1.3	0.2	37	29	64	7	6	1	0.841	0.688	0.737	0.529	0.561	0.841	0.673	0.439
0.1_0.125	4.0_64.0	1.3	0.3	38	5751	9385	28	25	3	0.576	0.62	0.62	0.196	0.007	0.576	0.014	0.993
0.1_0.125	8.0_64.0	1.3	0.3	29	3633	6128	15	13	2	0.659	0.628	0.628	0.287	0.008	0.659	0.016	0.992
0.25	4.0_64.0	1.3	0.3	44	983	3576	22	19	3	0.667	0.784	0.783	0.451	0.043	0.667	0.081	0.957
0.25	8.0_64.0	1.3	0.3	33	536	2076	11	9	2	0.75	0.795	0.794	0.545	0.058	0.75	0.108	0.942
0.375	4.0_64.0	1.3	0.3	40	86	352	14	11	3	0.741	0.804	0.797	0.545	0.317	0.741	0.444	0.683
0.375	8.0_64.0	1.3	0.3	28	29	218	8	7	1	0.778	0.883	0.869	0.661	0.491	0.778	0.602	0.509
0.5	4.0_64.0	1.3	0.3	65	154	668	13	11	2	0.833	0.813	0.814	0.646	0.297	0.833	0.438	0.703
